runs,NN_Color_50x50,NN_Bw_50x50,NN_Bw_85x85,keras_Color_50x50,keras_Bw_50x50,keras_Bw_85x85
1,0.2718,0.2233,0.2427,0.2718,0.2136,0.2718
2,0.2913,0.2816,0.3981,0.3495,0.2524,0.3204
3,0.3495,0.2233,0.3981,0.4369,0.2136,0.4078
4,0.2427,0.301,0.534,0.534,0.3495,0.466
5,0.466,0.3592,0.5534,0.5534,0.2816,0.4078
6,0.4563,0.3883,0.6019,0.5437,0.301,0.5728
7,0.5146,0.4078,0.6311,0.534,0.233,0.6019
8,0.4854,0.3592,0.5146,0.5728,0.3107,0.534
9,0.5437,0.466,0.5922,0.6505,0.3204,0.6408
10,0.5825,0.4175,0.6311,0.6019,0.2913,0.6699
11,0.5825,0.3786,0.6117,0.6505,0.2816,0.7282
12,0.6311,0.4563,0.6893,0.6796,0.301,0.6019
13,0.5825,0.4078,0.6311,0.7184,0.3981,0.7767
14,0.6408,0.4854,0.6796,0.6505,0.4466,0.7184
15,0.6214,0.4078,0.6602,0.699,0.3883,0.7087
16,0.6408,0.5437,0.7184,0.6311,0.4272,0.7961
17,0.6214,0.4854,0.7476,0.6893,0.4951,0.6602
18,0.6893,0.4854,0.6505,0.8738,0.4466,0.7282
19,0.699,0.4369,0.7864,0.7282,0.5146,0.7573
20,0.699,0.5146,0.7282,0.7379,0.4563,0.6408
21,0.67,0.5,0.69,0.78,0.54,0.75
